Unnamed: 0,regionpsgc,provincepsgc,municipalitycitypsgc,linelist_date,active_cases
580,030000000,031400000,031412000,2020-05-20,7
581,030000000,031400000,031412000,2020-05-21,7
582,030000000,031400000,031412000,2020-05-22,7
583,030000000,031400000,031412000,2020-05-23,8
584,030000000,031400000,031412000,2020-05-24,8
585,030000000,031400000,031412000,2020-05-25,8
586,030000000,031400000,031412000,2020-05-26,8
587,030000000,031400000,031412000,2020-05-27,8
588,030000000,031400000,031412000,2020-05-29,9
589,030000000,031400000,031412000,2020-05-30,9
590,030000000,031400000,031412000,2020-05-31,10
591,130000000,137600000,137602000,2020-05-24,330
592,130000000,137600000,137602000,2020-05-25,361
593,130000000,137600000,137602000,2020-05-26,357
594,130000000,137600000,137602000,2020-05-27,367
595,130000000,137600000,137602000,2020-05-29,387
596,130000000,137600000,137602000,2020-05-30,385
597,130000000,137600000,137602000,2020-05-31,351
